"","results"
"157",0.962255015887595
"158",0.959688013317555
"159",0.50666364865156
"160",0.333053150517602
"161",0.536368375127407
"162",0.42016239690485
"163",0.435270748411927
"164",0.323517501641896
"165",0.344386284147082
"166",16
"167",NA
"168",0.961311807696016
"169",0.92248236669616
"170",0.486453283311977
"171",0.64130847752539
"172",0.411970221064009
"173",0.344798637761632
"174",0.423009234900303
"175",0.359329217830862
"176",0.334134254567287
"177",17
"178",NA
"179",0.990256639188391
"180",0.939106361834454
"181",0.925657878541713
"182",0.321116067794351
"183",0.518284459091212
"184",0.366262738370682
"185",0.411102385213866
"186",0.504987187995371
"187",0.366416015948493
"188",18
"189",NA
"190",0.977446981774014
"191",0.431038599099249
"192",0.488765497157121
"193",0.458955571050879
"194",0.423103126303241
"195",0.427528423972515
"196",0.311518865592312
"197",0.398078833902085
"198",0.482077572831803
"199",19
"200",NA
"201",0.967988629552837
"202",0.946422749115135
"203",0.816848673631476
"204",0.412669126080874
"205",0.405120935858783
"206",0.459002290526202
"207",0.448298428661472
"208",0.450361208529896
"209",0.583071368893434
"210",20
"211",NA
"212",0.984486603656665
"213",0.943115312480141
"214",0.473936108742911
"215",0.452481320893247
"216",0.845273694181211
"217",0.390337901093178
"218",0.401608484512925
"219",0.461395125596542
"220",0.371229041609505
"221",21
"222",NA
"223",0.970253257770785
"224",0.931752770763523
"225",0.598416438918004
"226",0.412385840433179
"227",0.341118346260298
"228",0.454101704221503
"229",0.427730474605398
"230",0.367676812642591
"231",0.3645777281027
"232",22
"233",NA
"234",0.963694312615347
"235",0.977049109331545
"236",0.488842927681274
"237",0.854906180372527
"238",0.468439304978283
"239",0.39835180765368
"240",0.511424227298264
"241",0.378716812637246
"242",0.589378450345622
"243",23
"244",NA
"245",0.990358636972059
"246",0.912801571556175
"247",0.901608874579612
"248",0.404803077526717
"249",0.640822253448725
"250",0.428215832556949
"251",0.362222379525711
"252",0.425499342554919
"253",0.536747535775805
"254",24
"255",NA
"256",0.976121990829015
"257",0.94921092165229
"258",0.920314182824738
"259",0.411754722709693
"260",0.704694086172657
"261",0.401012724821622
"262",0.545350211347352
"263",0.369267367534766
"264",0.526335211796877
"265",25
"266",NA
"267",0.978336394670976
"268",0.915059529733325
"269",0.939035542322871
"270",0.475849451178896
"271",0.293977639960701
"272",0.464614362871012
"273",0.319755301175086
"274",0.422939093542425
"275",0.361477974237616
"276",26
"277",NA
"278",0.979534939182996
"279",0.914681529544915
"280",0.602705479478975
"281",0.501702836992661
"282",0.470584872460325
"283",0.447399018469744
"284",0.474384778665105
"285",0.345501330429266
"286",0.451301051860127
"287",27
"288",NA
"289",0.970239636848227
"290",0.936987374726705
"291",0.482004448375922
"292",0.549624938718758
"293",0.511271786189179
"294",0.414380141375085
"295",0.355883557270226
"296",0.424484801985521
"297",0.38468610413188
"298",28
"299",NA
"300",0.970141987463023
"301",0.431580184687862
"302",0.463825902601596
"303",0.843711387677313
"304",0.456460597702818
"305",0.354806539548426
"306",0.383414553213672
"307",0.528004259549509
"308",0.434703800369383
"309",29
"310",NA
"311",0.972633554617321
"312",0.949016879888632
"313",0.426139590012279
"314",0.379037462546896
"315",0.341537976376346
"316",0.461326213853542
"317",0.623999127899054
"318",0.353754726754583
"319",0.536520537457205
"320",30
"321",NA
"322",0.971684661092323
"323",0.926052800327444
"324",0.820874159810508
"325",0.420570188529604
"326",0.379835628013109
"327",0.33088706585521
"328",0.441334872892572
"329",0.367006442354831
"330",0.463112376418237
"331",31
"332",NA
"333",0.960051460519866
"334",0.941068411715377
"335",0.499084031411587
"336",0.444877906227169
"337",0.832425255641693
"338",0.501847951979683
"339",0.38815402361944
"340",0.311725670741388
"341",0.44563820863633
"342",32
"343",NA
"344",0.979556959776186
"345",0.918339179003119
"346",0.873508119503082
"347",0.811639246004755
"348",0.349793887175084
"349",0.397930658684646
"350",0.365647211770441
"351",0.414803387582114
"352",0.467630916235786
"353",33
"354",NA
"355",0.973415212942993
"356",0.931028541058863
"357",0.409261025360876
"358",0.798296325742518
"359",0.439520865416102
"360",0.543217794605572
"361",0.364545898278274
"362",0.478086153498856
"363",0.562914881488701
"364",34
"365",NA
"366",0.943948132281606
"367",0.94122905198244
"368",0.543332811309979
"369",0.441862179166884
"370",0.458630539331358
"371",0.448917006321644
"372",0.564739866120237
"373",0.396325632294298
"374",0.405951479178227
"375",35
"376",NA
"377",0.973999345637252
"378",0.597132321913104
"379",0.510711481378307
"380",0.534016377650026
"381",0.752843335535239
"382",0.54262682602539
"383",0.401862359575737
"384",0.61886533133323
"385",0.405121614884297
"386",36
"387",NA
"388",0.970331991565675
"389",0.947214751508937
"390",0.859073748006027
"391",0.393141176378679
"392",0.513594434518391
"393",0.610811388549842
"394",0.407387994394831
"395",0.320153692166361
"396",0.393948614906028
"397",37
"398",NA
"399",0.966911434986985
"400",0.929062111175
"401",0.517940609930224
"402",0.764931216887639
"403",0.530668267088916
"404",0.41873302163299
"405",0.395619266278176
"406",0.279717653061948
"407",0.406035314487018
"408",38
"409",NA
"410",0.951230785185974
"411",0.900622018938579
"412",0.636532560363013
"413",0.637666549971303
"414",0.3395338147163
"415",0.427320045400094
