"","results"
"1",1
"2",NA
"3",0.969448894709462
"4",0.947121261597606
"5",0.855777373386867
"6",0.446540995831347
"7",0.774505852680592
"8",0.314062111179723
"9",0.655850727562342
"10",0.399730470940575
"11",0.398477859748704
"12",2
"13",NA
"14",0.98791888917545
"15",0.948336330281322
"16",0.409794001473488
"17",0.425375096172325
"18",0.513147230321947
"19",0.411035492886585
"20",0.525194451614388
"21",0.508721241305511
"22",0.394034338445425
"23",3
"24",NA
"25",0.96698236453438
"26",0.954438728516492
"27",0.605003503611438
"28",0.391129433906871
"29",0.418630360065435
"30",0.525653606170615
"31",0.464949637465512
"32",0.411586339336216
"33",0.565181446289161
"34",4
"35",NA
"36",0.974929072541874
"37",0.941265771466452
"38",0.469893041855737
"39",0.637252946795
"40",0.874926554838149
"41",0.546982671460471
"42",0.294705373668863
"43",0.297609756252535
"44",0.410120864604927
"45",5
"46",NA
"47",0.970462797132294
"48",0.957869264955928
"49",0.901248009319571
"50",0.435015147055822
"51",0.494051423996624
"52",0.400104560106685
"53",0.360817545802688
"54",0.30259976512308
"55",0.433968679727525
"56",6
"57",NA
"58",0.977399122261509
"59",0.937484920017698
"60",0.498635807933189
"61",0.82761314528036
"62",0.461605991582033
"63",0.342139100044923
"64",0.323783063503448
"65",0.507282825731618
"66",0.423337849124097
"67",7
"68",NA
"69",0.967868823368952
"70",0.942166293253946
"71",0.420734154961386
"72",0.479536038711159
"73",0.714292307911376
"74",0.367383711628773
"75",0.424757204387353
"76",0.332011666767815
"77",0.354754972753697
"78",8
"79",NA
"80",0.970409337191521
"81",0.421131154626126
"82",0.904183899767595
"83",0.584130335164075
"84",0.470372663364755
"85",0.547807902009112
"86",0.390465574713616
"87",0.299665688735227
"88",0.460079773574468
"89",9
"90",NA
"91",0.95692873105041
"92",0.425811453965688
"93",0.857645249063433
"94",0.397126299647754
"95",0.382043070957802
"96",0.392845644849024
"97",0.349081151105765
"98",0.358032561264248
"99",0.548719663751744
"100",10
"101",NA
"102",0.970786789161099
"103",0.949506917744632
"104",0.469219994091924
"105",0.413723884563797
"106",0.539231892551507
"107",0.355056738161072
"108",0.449287605803129
"109",0.390275373686637
"110",0.560665318943093
"111",11
"112",NA
"113",0.963471525442723
"114",0.923406764158718
"115",0.866884183944846
"116",0.645893397864302
"117",0.389120220908584
"118",0.331674796831417
"119",0.33888556214499
"120",0.402421760367867
"121",0.317695001751709
"122",12
"123",NA
"124",0.981088867548201
"125",0.425098200107887
"126",0.498388619097406
"127",0.471479641055701
"128",0.381124739464053
"129",0.531657661110682
"130",0.402820058216602
"131",0.447127242028588
"132",0.522137361891143
"133",13
"134",NA
"135",0.975095139018267
"136",0.92304499155591
"137",0.870978507731164
"138",0.421055349884024
"139",0.474420080092034
"140",0.329936463785766
"141",0.38557636289271
"142",0.380194775747132
"143",0.415302078773219
"144",14
"145",NA
"146",0.986820984255891
"147",0.939134762655052
"148",0.926372791390179
"149",0.308673193694937
"150",0.438361534262889
"151",0.542960954161291
"152",0.512333498049046
"153",0.423370982273375
"154",0.582182131757795
"155",15
