"","results"
"1",2
"2",0.3572826003235
"3",0.44289970646174
"4",0.477327197842965
"5",0.397537127061722
"6",0.718014393599782
"7",0.419238822728095
"8",0.419908492714481
"9",0.815009584929763
"10",0.397057943976647
"11",0.726445727530211
"12",0.409213150575884
"13",0.457270521659925
"14",0.710174577470489
"15",0.374410617499256
"16",0.78829982807985
"17",0.448054014344286
"18",0.47820710366272
"19",0.428271168518826
"20",0.398661497856356
"21",0.440487421545233
"22",0.735705479884494
"23",0.436245363603808
"24",0.817942929651228
"25",0.529077591714803
"26",0.300675629308827
"27",0.802027857905571
"28",0.392680961452718
"29",0.448524555363627
"30",0.496471178777254
"31",0.750726626722283
"32",0.458188199386479
"33",0.457180653933065
"34",0.578929695820349
"35",0.733888407126076
"36",0.476057272389887
"37",0.480736498111172
"38",0.399204070409006
"39",0.612224440674509
"40",0.798111051055587
"41",0.414333204373647
"42",0.709205778858809
"43",0.548570784133458
"44",0.444952305974416
"45",0.424208119611702
"46",0.520483968958619
"47",0.402795081794682
"48",0.444824894947935
"49",0.395116620397157
"50",0.670240307116255
"51",0.774943272633279
"52",0.661671843533468
"53",0.354863416207575
"54",0.458981845072464
"55",0.411436577398389
"56",0.723299817055951
"57",0.824130949024365
"58",0.502199782080573
"59",0.485452120089079
"60",0.558912579300902
"61",0.483096662990693
"62",0.824930060217761
"63",0.460647248965246
"64",0.425524157035645
"65",0.39494881632783
"66",0.345999763677948
"67",0.414123676820229
"68",0.322869019695636
"69",0.54887737526334
"70",0.872021275859444
"71",0.387847081271132
"72",0.491509381195141
"73",0.410174757632456
"74",0.522861463465123
"75",0.728935179853004
"76",0.715991334528809
"77",0.452604883034418
"78",0.830422752011141
"79",0.427490224366087
"80",0.341595310678741
"81",0.779735060434923
"82",0.697970949608732
"83",0.776909213638172
"84",0.581032667394754
"85",0.475687603157276
"86",0.435526152629339
"87",0.521069517086516
"88",0.401006023910168
"89",0.399142131334609
"90",0.411236950900412
"91",0.516713016722243
"92",0.420536146150301
"93",0.432229119871716
"94",0.407897209503995
"95",0.402575075140363
"96",0.473419758069295
"97",0.451039747943834
"98",0.603752689907159
"99",0.37047878401757
"100",0.789383769901542
"101",0.400428164957007
"102",3
"103",0.333796509193097
"104",0.385042029784021
"105",0.419451394440176
"106",0.407340106692276
"107",0.784123578667382
"108",0.798737442075687
"109",0.482518756665279
"110",0.775953666807249
"111",0.66207951872264
"112",0.718713298153513
"113",0.65711401840761
"114",0.600272567535381
"115",0.882593692801632
"116",0.492584269345607
"117",0.324445892987814
"118",0.433481554606378
"119",0.39423107282496
"120",0.423330897966994
"121",0.417635835029116
"122",0.598466887851057
"123",0.433386127169862
"124",0.509371532389281
"125",0.453286634272382
"126",0.487786706257823
"127",0.40249881231138
"128",0.470631012487274
"129",0.706056421703588
"130",0.610826504536515
"131",0.670252801077348
"132",0.438394101091574
"133",0.357000734127906
"134",0.331051896324471
"135",0.734321185160467
"136",0.658527717736138
"137",0.333101204747361
"138",0.433953467667644
"139",0.665115404827938
"140",0.629688092832108
"141",0.45471779558815
"142",0.507740735928984
"143",0.373780118529266
"144",0.427024832122569
"145",0.564424233660645
"146",0.356323459702789
"147",0.434783149680812
"148",0.41856253236754
"149",0.35761447849461
"150",0.675779468100122
"151",0.405832369624616
"152",0.446468207360186
"153",0.353439988183833
"154",0.453113057754045
"155",0.705566263374171
"156",0.385346001619946
"157",0.468556405396335
"158",0.431916745790013
"159",0.502013472036788
"160",0.857851592123387
"161",0.384571445933218
"162",0.521477681652662
